age,number_of_bites,percentage_of_bites_in_total,number_of_dogs,percentage_of_dogs_in_total,bite_versus_population_ratio
1,2786,20.62939651980748,28482,8.707482161309454,2.3691574829141167
2,2145,15.883006293965199,22733,6.949904921460846,2.2853559111175072
3,1887,13.972602739726028,28636,8.754562852723037,1.596036601117092
4,1397,10.344316919659386,23436,7.164825220576096,1.4437640279001307
5,1228,9.092928544983339,23678,7.238809164226012,1.2561359663852352
6,962,7.123287671232877,24111,7.371185393979786,0.9663693545207297
7,761,5.634950018511662,23600,7.214963099743808,0.781008847947088
8,668,4.946316179192892,22131,6.7658622186622965,0.7310695990156959
9,440,3.258052573121066,19576,5.984750747482406,0.5443923582768464
10,411,3.043317289892632,16291,4.980464570251118,0.6110508863110307
11,255,1.888189559422436,14585,4.458908339396755,0.4234645378868427
12,211,1.5623843021103294,12916,3.94866370323267,0.39567418740452504
13,160,1.1847463902258424,12417,3.7961100343016465,0.3120948496014276
14,91,0.6738245094409478,10902,3.3329460895511436,0.202170839652463
15,61,0.45168456127360235,9514,2.9086084292780754,0.15529232354790076
16,26,0.19252128841169938,8220,2.5130083338938176,0.07660988856069349
17,10,0.07404664938911515,6771,2.0700218283205647,0.03577095099967624
19,3,0.022213994816734542,4281,1.3087820775425103,0.016973027976090245
20,2,0.014809329877823029,3372,1.0308837106922086,0.01436566484097318
21,1,0.0074046649389115145,2311,0.70651608997915,0.010480532636036688
