breed,number_of_bites,number_of_dogs,percentage_of_bites_in_total,percentage_of_dogs_in_total,bite_versus_population_ratio,friendliness_score,bite_score,aggresiveness_score,aggresiveness_score_ranking,bite_score_ranking
American Bulldog,6710,17567,53.9909880914065,10.511608425083772,5.136320333486569,0.0,100.0,100.0,1,1
German Shepherd,875,7295,7.040553588670743,4.365126854954523,1.6129092744875322,11.8,31.1,88.2,3,2
Siberian Husky,503,4452,4.0473125201158675,2.6639540449976065,1.519287664783836,23.0,29.3,77.0,6,3
Shih Tzu,825,22268,6.638236240746701,13.324557204404023,0.49819563524051935,9.0,9.3,91.0,2,4
Golden Retriever,173,4867,1.392018023817187,2.9122786022020106,0.477982437107722,94.9,8.9,5.1,15,5
Beagle,208,6924,1.6736401673640167,4.143130684538057,0.4039554372759596,33.7,7.5,66.3,10,6
Yorkshire Terrier,621,21112,4.9967814612166075,12.632838678793682,0.395539085732531,15.7,7.3,84.3,4,7
Labrador Retriever,491,17514,3.950756356614097,10.479894686452848,0.3769843566959849,94.4,7.0,5.6,14,8
Poodle,462,18655,3.7174122948181525,11.16263762565821,0.33302275138569265,16.8,6.1,83.2,5,9
Dachshund,104,4453,0.8368200836820083,2.664552417424605,0.31405652904769193,29.2,5.7,70.8,9,10
French Bulldog,149,6719,1.1989056968136467,4.020464337003351,0.2982008037676687,55.1,5.4,44.9,12,11
Pomeranian,140,7666,1.126488574187319,4.587123025370991,0.24557627252567799,28.1,4.4,71.9,7,12
Havanese,69,4588,0.5551979401351786,2.7453326950694112,0.2022333909228227,51.1,3.5,48.9,11,13
Miniature Schnauzer,39,3456,0.3138075313807531,2.0679751077070367,0.15174628079962807,28.6,2.5,71.4,8,14
Cavalier King Charles Spaniel,7,4387,0.056324428709365944,2.6250598372427,0.021456436120148702,68.5,0.0,31.5,13,15
