Rank,Breed,Overall Score,Very or Somewhat Friendly,Very or Somewhat Unfriendly,Always or Often,Rarely or Never,Always or Often,Rarely or Never,Always or Often,Rarely or Never,Warmly ,Defensively 
1,Bernese Mountain Dog,100,92.00%,0.50%,80.50%,4.00%,73.25%,7.25%,71.50%,7.25%,40.50%,6.00%
2,Pembroke Welsh Corgi,94.94,93.00%,1.00%,72.00%,5.00%,70.75%,7.50%,74.25%,6.50%,39.00%,6.50%
2,Golden Retriever,94.94,94.00%,0.50%,71.00%,7.00%,72.00%,8.75%,73.25%,6.75%,43.50%,6.50%
4,Labrador Retriever,94.38,94.00%,1.50%,70.00%,8.00%,75.75%,9.00%,75.25%,9.75%,47.00%,7.50%
5,Boxer,76.4,88.00%,2.50%,67.00%,10.50%,72.75%,8.50%,73.50%,10.00%,37.00%,9.00%
6,Great Dane,74.16,88.00%,3.50%,80.50%,3.50%,73.00%,9.25%,68.50%,10.00%,33.50%,9.50%
7,Cavalier King Charles Spaniel,68.54,88.00%,3.50%,68.00%,13.50%,73.50%,8.25%,67.00%,9.50%,35.00%,9.00%
8,Boston Terrier,62.36,89.50%,4.00%,62.00%,14.50%,75.75%,9.00%,69.50%,9.25%,35.50%,11.50%
9,French Bulldog,55.06,84.50%,6.00%,70.50%,8.00%,73.50%,10.25%,68.25%,12.00%,37.00%,11.50%
10,Australian Shepherd,53.37,88.00%,3.00%,62.00%,13.00%,72.75%,11.25%,66.50%,9.25%,37.50%,14.50%
11,Havanese,51.12,88.00%,3.00%,62.50%,10.50%,69.25%,9.50%,64.50%,10.75%,29.50%,9.50%
12,German Shorthaired Pointer,48.88,89.00%,4.50%,64.50%,10.50%,69.00%,11.25%,68.50%,11.75%,31.00%,11.00%
13,Beagle,33.71,86.50%,4.50%,62.00%,11.00%,65.25%,13.25%,63.50%,8.25%,34.00%,12.50%
14,Dachshund,29.21,85.00%,6.00%,56.00%,12.50%,73.75%,9.25%,68.50%,13.00%,23.00%,18.00%
15,Miniature Schnauzer,28.65,90.00%,6.00%,56.00%,15.50%,69.75%,9.25%,68.00%,11.00%,27.00%,16.50%
16,Pomeranian,28.09,91.50%,1.50%,54.50%,15.00%,67.25%,11.50%,63.50%,12.00%,30.50%,15.00%
17,Siberian Husky,23.03,87.00%,6.50%,63.00%,11.00%,65.00%,13.75%,66.25%,13.75%,40.50%,15.50%
18,Poodle,16.85,86.00%,4.50%,52.00%,17.50%,69.00%,10.50%,61.00%,13.25%,30.50%,13.00%
19,Yorkshire Terrier,15.73,87.00%,4.00%,55.50%,20.00%,70.25%,10.75%,60.75%,17.00%,29.00%,13.50%
20,German Shepherd,11.8,81.50%,5.00%,65.00%,11.00%,67.25%,13.25%,65.25%,14.50%,23.00%,22.00%
21,Shih Tzu,8.99,86.50%,3.50%,49.50%,20.50%,69.00%,11.00%,58.00%,18.75%,27.00%,13.50%
22,Cane Corso,8.43,77.00%,6.00%,61.00%,14.00%,71.25%,11.75%,64.00%,15.25%,26.00%,17.00%
22,Rottweiler,8.43,81.00%,6.50%,67.50%,10.50%,65.00%,16.00%,61.00%,20.50%,35.00%,18.50%
24,Doberman Pinscher,2.25,81.50%,5.50%,62.00%,18.50%,69.00%,13.25%,60.00%,12.75%,24.00%,23.50%
25,Bulldog,0,82.00%,5.50%,58.00%,14.00%,67.00%,16.25%,56.00%,18.00%,32.00%,18.00%
