date_of_bite,year,month,day_of_month,number_of_bites,precipitation,temperature_max,temperature_min,foggy_or_not,temperature_avg
2015-01-01,2015,1,1,5,0.0,39,27,0,33.0
2015-01-02,2015,1,2,9,0.0,42,35,0,38.5
2015-01-03,2015,1,3,6,0.71,42,33,1,37.5
2015-01-04,2015,1,4,11,0.3,56,41,1,48.5
2015-01-05,2015,1,5,5,0.0,49,21,0,35.0
2015-01-06,2015,1,6,1,0.05,22,19,0,20.5
2015-01-07,2015,1,7,8,0.0,23,9,0,16.0
2015-01-08,2015,1,8,5,0.0,21,8,0,14.5
2015-01-09,2015,1,9,7,0.07,33,19,0,26.0
2015-01-10,2015,1,10,4,0.0,23,16,0,19.5
2015-01-11,2015,1,11,7,0.0,37,18,0,27.5
2015-01-12,2015,1,12,3,0.36,39,35,1,37.0
2015-01-13,2015,1,13,6,0.0,36,17,0,26.5
2015-01-14,2015,1,14,8,0.0,32,16,0,24.0
2015-01-15,2015,1,15,0,0.0,35,25,0,30.0
2015-01-16,2015,1,16,6,0.0,43,20,0,31.5
2015-01-17,2015,1,17,8,0.0,32,17,0,24.5
2015-01-18,2015,1,18,5,2.1,42,31,1,36.5
2015-01-19,2015,1,19,6,0.0,42,36,0,39.0
2015-01-20,2015,1,20,8,0.0,40,32,0,36.0
2015-01-21,2015,1,21,5,0.0,36,25,0,30.5
2015-01-22,2015,1,22,5,0.0,40,31,0,35.5
2015-01-23,2015,1,23,10,0.0,39,28,0,33.5
2015-01-24,2015,1,24,7,0.72,39,33,1,36.0
2015-01-25,2015,1,25,9,0.0,42,31,0,36.5
2015-01-26,2015,1,26,2,0.48,31,22,1,26.5
2015-01-27,2015,1,27,8,0.36,30,20,1,25.0
2015-01-28,2015,1,28,5,0.0,34,16,0,25.0
2015-01-29,2015,1,29,3,0.02,36,19,0,27.5
2015-01-30,2015,1,30,3,0.06,38,19,1,28.5
2015-01-31,2015,1,31,10,0.0,26,13,0,19.5
2015-02-01,2015,2,1,9,0.03,36,20,1,28.0
2015-02-02,2015,2,2,11,1.02,34,14,1,24.0
2015-02-03,2015,2,3,4,0.0,26,13,0,19.5
2015-02-04,2015,2,4,5,0.0,43,24,0,33.5
2015-02-05,2015,2,5,9,0.0,42,14,0,28.0
2015-02-06,2015,2,6,9,0.0,27,12,0,19.5
2015-02-07,2015,2,7,13,0.02,40,25,0,32.5
2015-02-08,2015,2,8,5,0.0,37,29,1,33.0
2015-02-09,2015,2,9,8,0.09,29,25,0,27.0
2015-02-10,2015,2,10,5,0.01,40,26,0,33.0
2015-02-11,2015,2,11,5,0.0,34,22,0,28.0
2015-02-12,2015,2,12,6,0.0,40,16,0,28.0
2015-02-13,2015,2,13,5,0.0,21,8,0,14.5
2015-02-14,2015,2,14,8,0.02,32,16,0,24.0
2015-02-15,2015,2,15,9,0.0,25,4,0,14.5
2015-02-16,2015,2,16,3,0.0,21,3,0,12.0
2015-02-17,2015,2,17,11,0.14,27,14,0,20.5
2015-02-18,2015,2,18,5,0.0,33,19,0,26.0
2015-02-19,2015,2,19,8,0.0,27,8,0,17.5
2015-02-20,2015,2,20,3,0.0,19,2,0,10.5
2015-02-21,2015,2,21,8,0.61,32,13,1,22.5
2015-02-22,2015,2,22,8,0.1,43,32,1,37.5
2015-02-23,2015,2,23,4,0.0,38,8,0,23.0
2015-02-24,2015,2,24,7,0.0,24,4,0,14.0
2015-02-25,2015,2,25,3,0.0,37,20,0,28.5
2015-02-26,2015,2,26,6,0.0,32,21,0,26.5
2015-02-27,2015,2,27,9,0.0,30,18,0,24.0
2015-02-28,2015,2,28,11,0.0,29,13,0,21.0
2015-03-01,2015,3,1,7,0.52,31,24,1,27.5
2015-03-02,2015,3,2,4,0.0,39,27,0,33.0
2015-03-03,2015,3,3,12,0.67,37,22,1,29.5
2015-03-04,2015,3,4,3,0.25,45,35,1,40.0
2015-03-05,2015,3,5,9,0.76,40,19,1,29.5
2015-03-06,2015,3,6,6,0.0,27,12,0,19.5
2015-03-07,2015,3,7,14,0.0,38,18,0,28.0
