borough,zip_code,number_of_bites,number_of_dogs,percentage_of_bites_in_total,percentage_of_dogs_in_total,bite_versus_population_ratio,top_biter_by_number_of_bites,top_biter_by_bite_ratio
Manhattan,10025,213,6920,1.0507621725617877,2.1155739258570825,0.49667948716851973,Bulldog,Bulldog
Brooklyn,11201,153,6171,0.7547728281781856,1.8865905630728406,0.40007240731069216,Bulldog,Bulldog
Manhattan,10023,134,5781,0.6610428691233783,1.76736024066182,0.37402836949406465,Bulldog,Bulldog
Manhattan,10009,151,5674,0.7449065166987322,1.7346483316926427,0.42942797285710593,Bulldog,Bulldog
Brooklyn,11215,180,5548,0.8879680331508065,1.6961277659906207,0.5235266180741934,Bulldog,Bulldog
Manhattan,10011,117,5259,0.5771792215480243,1.6077750398963002,0.3589925252137586,Bulldog,Great Dane
Manhattan,10128,325,5206,1.6032756154111785,1.5915719447994179,1.007353529100587,Bulldog,Bulldog
Manhattan,10024,132,5156,0.6511765576439248,1.5762860060287744,0.41310812578008627,Bulldog,Bulldog
Manhattan,10019,118,4536,0.582112377287751,1.386740365272793,0.4197702698105572,Bulldog,Great Dane
Manhattan,10029,464,4218,2.28898426323319,1.2895217946914992,1.7750644251660739,Bulldog,Bulldog
Manhattan,10016,137,4103,0.6758423363425583,1.2543641355190187,0.5387927773165444,Bulldog,Siberian Husky
Manhattan,10028,125,4081,0.6166444674658379,1.2476383224599354,0.49424938010081026,Bulldog,Bulldog
Brooklyn,11238,134,3849,0.6610428691233783,1.176711566564149,0.5617713702377729,Bulldog,Cane Corso
Staten Island,10314,270,3828,1.3319520497262098,1.1702914722804787,1.1381370207976587,Bulldog,Rottweiler
Manhattan,10003,119,3766,0.5870455330274776,1.1513369082048803,0.5098816244350024,Bulldog,Rottweiler
Staten Island,10312,217,3689,1.0704947955206945,1.1277965624980892,0.9491913977371323,Bulldog,Great Dane
Queens,11385,222,3656,1.095160574219328,1.1177078429094645,0.9798272251258034,Bulldog,Rottweiler
Brooklyn,11206,203,3569,1.0014306151645207,1.0911103094485444,0.9178087737716011,Bulldog,Rottweiler
Queens,11101,158,3548,0.7794386068768191,1.084690215164874,0.7185817627739397,Bulldog,Bernese Mountain Dog
Brooklyn,11211,125,3526,0.6166444674658379,1.0779644021057908,0.572045297842146,Bulldog,Bulldog
Manhattan,10014,73,3431,0.36012036900004935,1.0489211184415679,0.34332454811768626,Bulldog,Cane Corso
Brooklyn,11221,210,3425,1.0359627053426077,1.0470868057890907,0.9893761430427921,Bulldog,Bulldog
Brooklyn,11209,180,3398,0.8879680331508065,1.038832398852943,0.8547750668262581,Bulldog,Rottweiler
Manhattan,10021,57,3380,0.2811898771644221,1.0333294608955113,0.2721202557417993,Bulldog,Bulldog
Manhattan,10002,148,3318,0.7301070494795521,1.0143748968199133,0.7197605656138111,Bulldog,Bulldog
Brooklyn,11217,86,3317,0.4242513936164965,1.0140691780445004,0.4183653371997853,Bulldog,Bernese Mountain Dog
Manhattan,10036,69,3202,0.3403877460411425,0.97891151887202,0.34772064632906197,Bulldog,Bulldog
Brooklyn,11226,164,3196,0.8090375413151792,0.9770772062195429,0.8280180278132431,Bulldog,Rottweiler
Staten Island,10306,163,3118,0.8041043855754526,0.9532311417373386,0.8435565629023715,Bulldog,Cane Corso
Manhattan,10010,57,3102,0.2811898771644221,0.9483396413307328,0.29650756428345626,Bulldog,Cane Corso
Brooklyn,11222,128,3000,0.631443934685018,0.9171563262386196,0.6884801604920001,Bulldog,Bernese Mountain Dog
Brooklyn,11234,234,2995,1.1543584430960485,0.9156277323615551,1.2607290084134601,Bulldog,Bulldog
Queens,11375,149,2941,0.7350402052192788,0.8991189184892602,0.8175116662591487,Bulldog,Rottweiler
Brooklyn,11218,94,2869,0.4637166395343101,0.8771071666595333,0.5286886906880228,Bulldog,Bulldog
Manhattan,10001,38,2802,0.1874599181096147,0.8566240087068707,0.21883570411783995,Bulldog,Bulldog
Brooklyn,11231,137,2711,0.6758423363425583,0.8288036001442992,0.8154432922647663,Bulldog,Cane Corso
Queens,11377,252,2680,1.243155246411129,0.8193263181065003,1.5172895328006994,Bulldog,Rottweiler
Manhattan,10022,83,2675,0.4094519263973163,0.8177977242294358,0.5006762849372314,Bulldog,Rottweiler
Brooklyn,11216,129,2573,0.6363770904247448,0.7866144091373227,0.8090076701272957,Bulldog,Bernese Mountain Dog
Bronx,10463,172,2563,0.848502787232993,0.7835572213831941,1.0828855431070523,Bulldog,Bulldog
Manhattan,10027,144,2558,0.7103744265206453,0.7820286275061296,0.9083739412277172,Bulldog,Rottweiler
Brooklyn,11249,100,2496,0.49331557397267034,0.7630740634305315,0.6464845257023739,Bulldog,Doberman Pinscher
Brooklyn,11214,139,2450,0.6857086478220117,0.7490109997615394,0.9154854174909566,Bulldog,Doberman Pinscher
Brooklyn,11207,239,2428,1.1790242217946822,0.7422851867024561,1.5883709427536943,Bulldog,Rottweiler
Bronx,10462,169,2409,0.8337033200138129,0.7364765299696115,1.1320161418425827,Bulldog,Rottweiler
Brooklyn,11229,148,2375,0.7301070494795521,0.7260820916055738,1.0055433922975265,Bulldog,Doberman Pinscher
Brooklyn,11235,159,2283,0.7843717626165458,0.6979559642675894,1.1238126798438324,Bulldog,Bulldog
Brooklyn,11220,195,2281,0.9619653692467071,0.6973445267167638,1.3794693044711064,Bulldog,Great Dane
Bronx,10465,173,2245,0.8534359429727196,0.6863386508019004,1.2434618711558603,Bulldog,German Shorthaired Pointer
Bronx,10467,228,2195,1.1247595086576885,0.6710527120312567,1.6761120080314924,Bulldog,Bulldog
Queens,11372,172,2189,0.848502787232993,0.6692183993787795,1.2679011635374031,Bulldog,Cane Corso
Bronx,10461,183,2175,0.9027675003699868,0.6649383365229992,1.3576710061426296,Bulldog,Bulldog
Bronx,10473,206,2153,1.0162300823837007,0.658212523463916,1.5439239548887307,Bulldog,Bulldog
Brooklyn,11225,98,2127,0.48344926249321696,0.6502638353031813,0.7434663228162025,Bulldog,Bulldog
Manhattan,10012,74,2121,0.36505352473977604,0.6484295226507041,0.5629810364702087,Bulldog,Bulldog
Brooklyn,11205,84,2104,0.4143850821370431,0.6432323034686852,0.6442230589204493,Bulldog,Rottweiler
Manhattan,10038,64,2053,0.315721967342509,0.6276406459226287,0.5030298298772529,Bulldog,Bulldog
Manhattan,10031,124,2046,0.6117113117261112,0.6255006144947386,0.9779547734261363,Bulldog,Rottweiler
Brooklyn,11208,336,2033,1.6575403285481725,0.6215262704143713,2.6668869964950814,Bulldog,Bulldog
Queens,11102,107,2026,0.5278476641507572,0.6193862389864812,0.8522108353819564,Bulldog,Bulldog
Manhattan,10032,109,1997,0.5377139756302106,0.6105203944995078,0.8807469504290968,Bulldog,Great Dane
Brooklyn,11233,151,1992,0.7449065166987322,0.6089918006224434,1.2231798785096482,Bulldog,Cane Corso
Manhattan,10013,99,1983,0.48838241823294365,0.6062403316437276,0.8055920939947524,German Shepherd,Bernese Mountain Dog
Brooklyn,11237,122,1972,0.6018450002466578,0.602877425114186,0.9982875045166393,Bulldog,Cane Corso
Queens,11373,223,1972,1.1000937299590547,0.602877425114186,1.8247386353050046,Bulldog,Bernese Mountain Dog
Staten Island,10305,105,1971,0.5179813526713039,0.6025717063387731,0.8596177802946633,Bulldog,Rottweiler
Manhattan,10033,102,1947,0.5031818854521237,0.5952344557288641,0.8453507363514061,Bulldog,Great Dane
Staten Island,10309,158,1909,0.7794386068768191,0.583617142263175,1.335530693725478,Bulldog,Rottweiler
Staten Island,10304,139,1854,0.6857086478220117,0.5668026096154669,1.20978385806518,Bulldog,Doberman Pinscher
Queens,11368,293,1845,1.445414631739924,0.5640511406367511,2.562559540449136,Bulldog,German Shepherd
Bronx,10456,228,1833,1.1247595086576885,0.5603825153317966,2.007128127457243,Bulldog,Bulldog
Queens,11106,99,1822,0.48838241823294365,0.557019608802255,0.8767777839690417,Bulldog,Great Dane
Brooklyn,11223,136,1793,0.6709091806028317,0.5481537643152816,1.22394339741676,Bulldog,Cane Corso
Brooklyn,11236,164,1781,0.8090375413151792,0.5444851390103271,1.4858762587822152,Bulldog,Bulldog
Staten Island,10308,87,1760,0.4291845493562232,0.5380650447266568,0.7976443620756926,Bulldog,Bernese Mountain Dog
Queens,11379,110,1724,0.5426471313699374,0.5270591688117934,1.0295753560141752,Bulldog,Cane Corso
Manhattan,10026,96,1718,0.47358295101376346,0.5252248561593162,0.9016765780599533,Bulldog,Doberman Pinscher
Brooklyn,11224,135,1697,0.6659760248631049,0.5188047618756458,1.2836736934630046,Bulldog,Cane Corso
Staten Island,10301,164,1687,0.8090375413151792,0.5157475741215171,1.5686696010024452,Bulldog,Doberman Pinscher
Manhattan,10034,69,1678,0.3403877460411425,0.5129961051428013,0.6635289091452065,Bulldog,Bulldog
Brooklyn,11230,85,1675,0.4193182378767698,0.5120789488165627,0.8188546684956157,Bulldog,Rottweiler
Queens,11105,104,1669,0.5130481969315771,0.5102446361640853,1.0054945423602457,Bulldog,Rottweiler
Bronx,10458,217,1645,1.0704947955206945,0.5029073855541765,2.128612198329654,Bulldog,German Shorthaired Pointer
Bronx,10472,202,1635,0.9964974594247941,0.49985019780004775,1.9935922078466743,Bulldog,Rottweiler
Brooklyn,11228,87,1627,0.4291845493562232,0.49740444759674474,0.8628482343289605,Bulldog,Rottweiler
Brooklyn,11212,148,1606,0.7301070494795521,0.4909843533130744,1.4870271212370019,Bulldog,Bulldog
Bronx,10460,183,1595,0.9027675003699868,0.4876214467835328,1.8513695538308583,Bulldog,Doberman Pinscher
Brooklyn,11213,115,1546,0.5673129100685709,0.47264122678830195,1.20030348161455,Bulldog,Great Dane
Manhattan,10040,64,1543,0.315721967342509,0.4717240704620634,0.6692937399468568,Bulldog,Bulldog
Bronx,10469,156,1540,0.7695722953973657,0.47080691413582476,1.6345815498693994,Bulldog,Cane Corso
Queens,11378,127,1534,0.6265107789452914,0.46897260148334746,1.3359219215870075,Bulldog,Australian Shepherd
